id;cep;logradouro;complemento;numero;bairro;cidade;estado;criacao
1;customized Filmes St;Forward Unidos;Peixe e-markets;back-end Forward;Eletrônicos;Avenida Integration;ouro bandwidth-monitored;2022-03-23T15:29:43
2;synthesizing prata;Plástico;Personal deposit;Taiwan;Account;circuit;Bacon prata Borracha;2022-03-23T04:00:37
3;Inteligente Intelige;Licenciado prata;Manager multi-byte budgetary;Auto;visualize Queijo;calculate;backing;2022-03-23T21:03:06
4;Stand-alone;Mesa communities;Gostoso Account;Agent RSS Buckinghamshire;mobile discrete transform;Marginal Travessa coral;disintermediate;2022-03-23T12:06:49
5;Tocantins Salsicha;Buckinghamshire Avenida bandwidth;Savings;Namibia Madeira;Secured Avon cinza;de;monitoring;2022-03-23T21:05:24
6;JSON Configurable Fr;Technician scale bypassing;Chapéu JSON;Fresco Account;Internal;Mobility Bebê;Versatile interface SSL;2022-03-23T08:02:28
7;hacking;ametista Metal;intermediate matrix;bandwidth application Central;application Account reboot;Corporate Internal Pará;neural Agent Fantástico;2022-03-23T23:05:32
8;Robust Pará;mão Lindo Computador;Inteligente;Micronésia contingency;bypassing compressing;RSS Polarised;attitude Loan;2022-03-23T04:57:49
9;Quality-focused Buck;Travessa Rodovia morph;program withdrawal e-business;systems Usability Borders;Fantástico;Reduced;Travessa Analyst;2022-03-23T15:31:40
10;Eritreia;payment;Account protocol;maximize;Bulgária Dollar;1080p Nepal Creative;Travessa;2022-03-23T05:49:39
